listing_id,date,city,district,rooms,area_sqm,floor,total_floors,has_elevator,year_built,distance_center_km,postal_code,price_sqm,price_total
422573,2024-07-31,Warszawa,Targowek,1.0,65.2,13.0,5.0,1.0,1964.0,6.42,30-429,7610,496148
44376,2024-09-01,Gdansk,Srodmiescie,2.0,85.8,7.0,12.0,1.0,1980.0,1.83,73-868,10350,888022
227056,2024-07-21,Gdansk,Zaspa,5.0,126.9,1.0,17.0,1.0,1980.0,5.51,23-835,6141,779262
604416,2023-10-30,Lodz,Retkinia,3.0,92.2,15.0,12.0,1.0,1995.0,4.59,45-392,4826,444935
383395,2024-07-09,Krakow,Krowodrza,1.0,83.1,8.0,9.0,1.0,1963.0,8.44,39-622,6293,522957
666031,2025-07-19,Krakow,Czyzyny,2.0,75.6,8.0,14.0,1.0,1975.0,13.15,24-126,3619,273611
433621,2023-11-30,Gdansk,Wrzeszcz,1.0,45.8,9.0,17.0,1.0,1957.0,5.66,97-848,6996,320424
228018,2025-09-21,Warszawa,Bemowo,3.0,48.8,14.0,16.0,1.0,,0.25,38-269,14224,694147
311811,2024-11-24,Gdansk,Zaspa,5.0,58.8,2.0,7.0,1.0,2002.0,0.67,11-384,9450,555647
749600,2025-08-13,Krakow,Pradnik,3.0,111.6,1.0,15.0,1.0,2008.0,0.78,88-750,8402,937687
590169,2024-12-09,Wroclaw,Oporow,2.0,42.8,5.0,8.0,1.0,2020.0,11.47,83-641,3537,151389
651351,2025-09-28,Poznan,Wilda,5.0,87.6,11.0,12.0,1.0,1991.0,8.64,52-204,4153,363767
695360,2024-09-24,Poznan,Stare Miasto,3.0,80.9,10.0,7.0,1.0,1966.0,3.73,63-685,7041,569657
499790,2023-12-29,Warszawa,Zoliborz,2.0,59.2,6.0,9.0,1.0,1960.0,10.06,80-896,6168,365169
427586,2024-04-06,Gdansk,Orunia,1.0,45.5,15.0,15.0,1.0,1970.0,0.85,82-583,7415,337391
270332,2025-07-14,Warszawa,Srodmiescie,1.0,69.0,11.0,10.0,1.0,2017.0,6.34,79-854,10180,702446
486219,2025-09-04,Lodz,Karolew,4.0,88.4,1.0,11.0,1.0,1967.0,10.54,60-474,3500,309400
345897,2025-05-30,Wroclaw,Psie Pole,4.0,58.8,6.0,13.0,1.0,1999.0,7.28,27-979,4611,271123
271735,2025-09-28,Poznan,Rataje,1.0,61.9,8.0,15.0,1.0,1969.0,1.44,50-879,7457,461576
708732,2024-04-01,Lodz,Polesie,4.0,81.2,13.0,15.0,1.0,1961.0,7.29,34-330,3686,299329
535379,2025-01-24,Wroclaw,Fabryczna,3.0,105.6,9.0,10.0,1.0,1958.0,4.6,83-720,6168,651319
514456,2024-07-23,Wroclaw,Stare Miasto,5.0,80.4,14.0,12.0,1.0,2005.0,2.25,89-768,10208,820714
357575,2025-06-27,Wroclaw,Psie Pole,4.0,122.5,3.0,8.0,1.0,1975.0,13.3,91-716,3500,428750
777953,2024-06-28,Wroclaw,Oporow,4.0,120.0,3.0,,1.0,2016.0,7.01,74-955,4988,598615
198117,2025-06-25,Krakow,Stare Miasto,1.0,75.2,3.0,11.0,1.0,1996.0,1.84,69-958,10097,759264
229464,2025-02-03,Krakow,Bronowice,3.0,84.7,13.0,14.0,1.0,2004.0,3.88,68-666,7612,644724
592850,2025-01-02,Krakow,Stare Miasto,1.0,60.6,3.0,9.0,1.0,1976.0,0.56,36-516,12296,745118
259410,2025-07-14,Warszawa,Zoliborz,1.0,45.4,10.0,,1.0,1965.0,3.94,44-803,10091,458120
45618,2024-05-07,Warszawa,Wola,,114.3,3.0,11.0,,1986.0,3.31,18-761,10837,1238660
399640,2024-03-17,Wroclaw,Psie Pole,4.0,77.3,10.0,,1.0,2010.0,4.97,11-847,5725,442576
625895,2024-04-24,Poznan,Wilda,1.0,89.5,12.0,9.0,0.0,,7.47,96-156,3819,341758
432649,2025-09-20,Wroclaw,Biskupin,3.0,83.6,1.0,11.0,1.0,2020.0,2.11,74-353,8252,689875
81617,2025-01-25,Krakow,Stare Miasto,1.0,76.5,12.0,8.0,1.0,,2.7,84-735,11380,870555
75164,2024-08-16,Warszawa,Praga,1.0,47.2,1.0,12.0,1.0,1960.0,9.06,40-127,4928,232611
606826,2024-11-13,Warszawa,Bemowo,4.0,63.2,7.0,,1.0,2019.0,3.32,80-180,9801,619395
676273,2025-07-16,Warszawa,Ursus,4.0,74.9,4.0,16.0,1.0,2006.0,2.59,60-554,9550,715299
511629,2024-11-08,Warszawa,Mokotow,2.0,43.8,14.0,12.0,1.0,1972.0,3.09,78-457,13058,571944
648272,2024-02-15,Wroclaw,Fabryczna,1.0,92.9,15.0,6.0,1.0,1972.0,12.39,68-690,3500,325150
15231,2025-07-06,Poznan,Rataje,4.0,68.0,6.0,10.0,1.0,2015.0,1.11,56-117,7278,494927
112721,2025-08-27,Krakow,Podgorze,2.0,64.6,5.0,11.0,1.0,1982.0,3.12,48-940,8316,537239
478078,2023-11-03,Lodz,Karolew,2.0,66.9,6.0,13.0,1.0,1967.0,2.43,58-202,5461,365364
243587,2023-12-13,Gdansk,Zaspa,5.0,110.9,15.0,15.0,0.0,1985.0,8.42,93-180,4762,528156
436053,2025-02-28,Krakow,Podgorze,1.0,40.2,0.0,14.0,1.0,2001.0,0.4,74-717,10711,430570
207292,2024-02-25,Wroclaw,Oltaszyn,5.0,83.0,2.0,11.0,1.0,2007.0,6.95,59-506,4403,365418
110943,2024-06-15,Poznan,Grunwald,1.0,39.3,9.0,10.0,1.0,2014.0,2.22,71-932,7943,312150
25104,2024-07-07,Krakow,Nowa Huta,1.0,51.6,12.0,,1.0,1973.0,8.95,34-844,4265,220088
604208,2023-11-20,Poznan,Rataje,4.0,66.3,11.0,15.0,1.0,1989.0,2.57,80-172,6471,429019
755688,2024-03-18,Warszawa,Targowek,2.0,75.0,4.0,9.0,1.0,,7.65,53-155,6428,482081
354463,2024-11-08,Gdansk,Zaspa,1.0,72.4,3.0,8.0,1.0,1987.0,1.65,97-261,8300,600896
250252,2025-03-25,Warszawa,Bielany,2.0,78.2,8.0,,1.0,1991.0,10.45,54-425,5094,398357
357071,2025-04-16,Gdansk,Osowa,1.0,56.8,3.0,,1.0,2014.0,6.73,61-167,5054,287042
226499,2024-02-25,Warszawa,Bemowo,3.0,68.3,12.0,7.0,1.0,1995.0,1.41,14-889,12861,878378
413550,2025-05-31,Warszawa,Targowek,2.0,56.3,0.0,5.0,1.0,1960.0,3.58,96-810,8774,493957
154552,2025-09-19,Lodz,Gorny,1.0,70.1,,17.0,1.0,,9.7,66-908,3500,245350
362362,2025-03-01,Krakow,Stare Miasto,5.0,55.0,0.0,11.0,1.0,1995.0,6.29,16-574,8413,462721
477188,2024-06-15,Lodz,Widzew,3.0,72.2,14.0,15.0,1.0,1978.0,0.52,71-687,6321,456387
432325,2025-06-06,Krakow,Czyzyny,4.0,103.5,8.0,9.0,1.0,1967.0,5.41,97-872,6782,701958
719860,2024-08-17,Gdansk,Chelm,,90.5,3.0,,1.0,1964.0,0.81,20-216,8727,789831
577191,2024-04-01,Lodz,Srodmiescie,1.0,77.4,13.0,7.0,1.0,1971.0,5.65,78-849,5547,429355
561540,2025-05-02,Warszawa,Srodmiescie,4.0,101.6,5.0,17.0,1.0,1963.0,15.69,86-254,4128,419391
47568,2025-10-02,Wroclaw,Srodmiescie,5.0,156.7,15.0,10.0,1.0,1987.0,4.86,61-475,8525,1335865
6214,2024-06-04,Lodz,Polesie,5.0,92.1,14.0,12.0,1.0,1986.0,2.87,86-594,5325,490450
371409,2024-12-27,Wroclaw,Krzyki,3.0,75.0,1.0,11.0,1.0,2003.0,9.92,98-356,4368,327633
750355,2024-03-04,Wroclaw,Oltaszyn,1.0,69.5,7.0,6.0,0.0,,3.44,49-311,5906,410437
521098,2024-04-16,Warszawa,Praga,2.0,53.0,14.0,4.0,0.0,1996.0,1.84,60-843,8469,448842
587038,2024-09-16,Warszawa,Ursus,3.0,104.1,9.0,5.0,1.0,1977.0,2.36,46-667,9900,1030629
573313,2024-04-12,Poznan,Naramowice,3.0,105.2,7.0,13.0,1.0,,8.28,84-264,4765,501245
645832,2024-05-29,Warszawa,Mokotow,4.0,89.7,6.0,8.0,1.0,1988.0,5.66,50-585,9374,840806
726668,2024-03-12,Warszawa,Ursynow,2.0,45.4,7.0,13.0,1.0,2021.0,16.98,20-229,3887,176452
331133,2024-08-06,Gdansk,Zaspa,3.0,70.5,1.0,5.0,1.0,2007.0,1.71,59-225,9048,637904
9946,2024-05-24,Wroclaw,Krzyki,1.0,49.4,9.0,10.0,1.0,1982.0,0.65,29-536,9547,471630
442820,2024-06-13,Wroclaw,Stare Miasto,5.0,99.2,2.0,14.0,1.0,2007.0,3.25,30-917,7388,732906
211327,2025-07-31,Warszawa,Srodmiescie,2.0,54.6,10.0,10.0,1.0,1985.0,14.05,11-224,5299,289323
674544,2024-12-28,Warszawa,Ursynow,5.0,88.7,,11.0,1.0,,11.14,31-372,5297,469884
601509,2025-09-23,Gdansk,Orunia,4.0,82.3,11.0,14.0,1.0,1971.0,1.53,36-207,6589,542304
540148,2025-04-03,Wroclaw,Krzyki,3.0,69.9,11.0,7.0,1.0,2020.0,4.95,68-459,7239,506008
25005,2024-01-25,Krakow,Nowa Huta,4.0,70.5,8.0,13.0,1.0,1989.0,12.6,84-382,3500,246750
60804,2025-05-13,Poznan,Nowe Miasto,1.0,59.6,5.0,9.0,1.0,2018.0,,93-413,8100,482741
441408,2025-06-12,Warszawa,Srodmiescie,5.0,73.9,9.0,7.0,1.0,2001.0,1.68,55-930,15671,1158115
746767,2025-09-30,Wroclaw,Krzyki,4.0,,13.0,13.0,1.0,2014.0,3.43,20-556,8691,929101
723957,2024-07-17,Wroclaw,Oltaszyn,3.0,79.9,15.0,16.0,1.0,1979.0,17.05,85-446,3500,279650
773470,2024-02-25,Poznan,Grunwald,1.0,59.4,8.0,13.0,1.0,,12.9,93-143,3500,207900
182424,2025-06-18,Warszawa,Targowek,5.0,85.3,13.0,11.0,1.0,2018.0,16.94,98-662,3500,298550
86826,2025-02-21,Lodz,Gorny,5.0,132.8,5.0,11.0,0.0,1987.0,9.83,70-504,3500,464800
457872,2025-09-13,Warszawa,Ursynow,5.0,90.6,13.0,13.0,1.0,1966.0,4.52,96-138,9384,850157
114313,2025-02-10,Krakow,Czyzyny,5.0,93.2,4.0,11.0,1.0,1975.0,1.62,89-436,7241,674854
435237,2024-12-21,Poznan,Winogrady,2.0,76.4,3.0,17.0,1.0,2018.0,12.24,81-684,3500,267400
732959,2023-11-02,Wroclaw,Krzyki,2.0,77.8,11.0,7.0,1.0,,17.17,65-743,3500,272300
464488,2024-05-30,Poznan,Jezyce,2.0,71.2,0.0,15.0,1.0,1956.0,6.7,79-373,4628,329487
397264,2023-12-10,Wroclaw,Psie Pole,2.0,52.8,5.0,13.0,1.0,1983.0,2.69,34-870,6570,346890
717160,2024-06-06,Warszawa,Ursynow,4.0,22.4,6.0,15.0,1.0,2008.0,8.57,95-760,7058,158107
449794,2025-06-02,Lodz,Teofilow,1.0,65.3,11.0,8.0,1.0,1979.0,3.03,74-152,5648,368786
689227,2024-12-16,Lodz,Srodmiescie,,84.8,0.0,4.0,0.0,1956.0,2.12,71-277,6951,589462
229001,2024-03-28,Poznan,Rataje,1.0,68.4,11.0,7.0,1.0,1989.0,2.86,47-351,6740,461045
623206,2025-01-19,Warszawa,Ursus,4.0,82.5,7.0,4.0,0.0,1956.0,8.77,61-252,4833,398682
617557,2024-04-23,Wroclaw,Fabryczna,5.0,105.9,12.0,6.0,1.0,,1.38,62-900,8214,869863
630185,2025-06-27,Warszawa,Targowek,3.0,67.7,6.0,10.0,1.0,1971.0,2.96,68-707,9469,641039
276299,2024-08-17,Wroclaw,Srodmiescie,1.0,69.5,2.0,12.0,1.0,1994.0,8.09,39-619,5475,380487
694969,2025-09-23,Gdansk,Oliwa,2.0,63.7,0.0,17.0,1.0,1976.0,4.09,27-117,6924,441050
446088,2024-12-09,Warszawa,Praga,4.0,47.7,1.0,8.0,1.0,2008.0,7.45,26-961,7027,335190
415431,2025-07-16,Warszawa,Praga,1.0,82.1,15.0,5.0,1.0,1957.0,3.82,25-303,9956,817424
372593,2024-11-16,Gdansk,Chelm,3.0,,5.0,9.0,1.0,2009.0,3.16,38-888,7453,516527
544316,2024-10-01,Gdansk,Chelm,2.0,62.9,0.0,15.0,1.0,1964.0,2.29,58-641,6577,413721
228671,2025-06-10,Krakow,Pradnik,1.0,70.6,5.0,4.0,0.0,,7.49,83-827,5071,357992
43642,2023-10-29,Krakow,Nowa Huta,4.0,83.4,2.0,9.0,1.0,2012.0,,55-797,3500,291900
766876,2024-03-24,Krakow,Pradnik,5.0,87.8,15.0,15.0,1.0,1992.0,2.58,47-217,9014,791394
669568,2025-05-20,Lodz,Baluty,2.0,68.3,11.0,17.0,1.0,1991.0,2.2,26-266,4950,338096
19920,2024-06-07,Krakow,Podgorze,5.0,102.4,,16.0,1.0,,3.29,10-221,7301,747580
453422,2025-02-08,Warszawa,Wola,2.0,82.4,4.0,13.0,0.0,1985.0,9.37,30-982,7254,597762
12232,2025-04-15,Warszawa,Bemowo,2.0,86.1,6.0,14.0,1.0,2014.0,5.12,69-405,7751,667371
349334,2025-05-09,Lodz,Baluty,5.0,73.1,5.0,10.0,0.0,2021.0,4.41,89-936,4357,318498
375843,2024-07-02,Lodz,Teofilow,5.0,74.3,1.0,8.0,1.0,2018.0,7.14,31-332,3672,272809
727832,2025-06-17,Poznan,Jezyce,4.0,100.1,2.0,6.0,1.0,1979.0,9.26,16-261,3500,350350
207987,2024-08-14,Warszawa,Targowek,2.0,71.9,0.0,4.0,0.0,1962.0,1.3,15-624,11438,822382
655720,2024-12-29,Krakow,Stare Miasto,4.0,97.3,4.0,10.0,1.0,1985.0,4.74,52-454,9636,937534
177183,2023-12-18,Wroclaw,Oltaszyn,2.0,54.0,1.0,17.0,0.0,1996.0,7.15,76-143,5076,274086
779226,2024-10-15,Warszawa,Zoliborz,5.0,67.8,9.0,9.0,1.0,2013.0,4.66,77-157,11236,761795
711005,2023-12-27,Poznan,Stare Miasto,4.0,107.2,1.0,13.0,1.0,1968.0,8.29,71-719,4803,514923
503792,2023-12-23,Warszawa,Praga,3.0,66.3,5.0,15.0,1.0,2006.0,9.62,58-954,5256,348490
672348,2025-02-09,Poznan,Nowe Miasto,5.0,76.0,10.0,16.0,1.0,1994.0,5.15,25-996,5060,384573
324774,2024-01-31,Krakow,Podgorze,3.0,87.2,3.0,15.0,0.0,1995.0,5.62,40-967,6590,574621
760051,2024-01-30,Lodz,Retkinia,4.0,127.3,13.0,,0.0,2015.0,5.68,90-235,3500,445550
272470,2025-05-26,Krakow,Czyzyny,2.0,43.3,13.0,8.0,1.0,1978.0,7.86,31-909,5840,252860
558309,2024-07-14,Poznan,Grunwald,5.0,85.9,3.0,12.0,0.0,1992.0,4.2,74-407,5687,488490
125351,2024-09-25,Poznan,Stare Miasto,1.0,77.5,0.0,16.0,1.0,2003.0,1.42,48-327,9673,749644
558891,2024-10-27,Warszawa,Wola,2.0,74.3,,8.0,1.0,1965.0,8.02,14-312,8150,605576
339689,2024-01-04,Gdansk,Srodmiescie,3.0,82.8,7.0,6.0,1.0,1981.0,1.68,96-283,10940,905839
597188,2024-08-26,Warszawa,Praga,1.0,55.7,7.0,8.0,1.0,1962.0,18.72,15-148,3500,194950
74100,2023-10-08,Lodz,Baluty,3.0,105.3,11.0,5.0,1.0,2012.0,1.42,20-403,6696,705102
520860,2024-05-16,Warszawa,Ursynow,3.0,80.0,8.0,12.0,1.0,1993.0,4.75,14-653,9255,740426
442384,2024-05-09,Warszawa,Mokotow,1.0,49.9,11.0,17.0,0.0,1973.0,2.47,90-589,12307,614128
114422,2024-09-13,Warszawa,Bemowo,5.0,157.3,0.0,13.0,1.0,2003.0,3.95,71-511,8200,1289932
766480,2024-03-25,Krakow,Pradnik,1.0,61.3,15.0,,1.0,1990.0,9.35,51-370,5102,312724
420579,2024-11-05,Warszawa,Bielany,2.0,53.3,3.0,4.0,0.0,2020.0,7.6,54-362,6601,351840
199666,2024-10-17,Warszawa,Mokotow,5.0,85.7,14.0,4.0,0.0,1956.0,1.71,33-788,10368,888496
334656,2025-01-01,Lodz,Widzew,3.0,50.4,6.0,9.0,1.0,1963.0,2.98,42-733,4887,246308
96098,2025-02-11,Krakow,Nowa Huta,1.0,61.7,4.0,15.0,1.0,1975.0,3.58,12-535,6792,419036
460485,2025-07-08,Poznan,Grunwald,4.0,84.5,2.0,,1.0,1980.0,3.84,90-259,6632,560422
264772,2023-10-20,Warszawa,Ursus,4.0,67.4,0.0,8.0,1.0,1969.0,4.65,68-884,7752,522516
740190,2023-10-06,Warszawa,Targowek,3.0,85.3,7.0,14.0,1.0,2011.0,16.63,10-757,3500,298550
281086,2024-11-27,Warszawa,Targowek,4.0,50.2,12.0,14.0,1.0,1988.0,6.01,79-412,8074,405317
182427,2023-12-31,Warszawa,Praga,3.0,93.8,7.0,4.0,0.0,2005.0,1.3,55-610,9677,907716
528971,2025-08-18,Warszawa,Wola,5.0,60.5,7.0,11.0,1.0,2013.0,6.93,82-628,9043,547126
66973,2024-01-28,Warszawa,Bemowo,5.0,101.2,10.0,13.0,1.0,1976.0,3.5,13-983,9514,962853
400386,2025-01-21,Warszawa,Bielany,1.0,72.6,15.0,15.0,1.0,1955.0,5.71,45-553,7967,578438
171984,2024-08-26,Wroclaw,Krzyki,,95.6,6.0,6.0,1.0,1979.0,7.38,57-119,4870,465558
123242,2025-08-14,Warszawa,Zoliborz,4.0,77.5,5.0,,1.0,1986.0,0.89,13-587,13460,1043151
708196,2023-12-10,Warszawa,Wola,4.0,105.6,3.0,11.0,1.0,1956.0,8.74,49-624,7113,751102
379008,2024-05-08,Poznan,Wilda,1.0,75.8,9.0,13.0,1.0,,1.01,58-995,7852,595159
780223,2024-01-24,Warszawa,Mokotow,1.0,72.0,13.0,7.0,1.0,2007.0,,92-501,14191,1021737
670077,2025-09-20,Gdansk,Srodmiescie,2.0,52.0,15.0,8.0,0.0,1985.0,3.39,92-904,7118,370129
358511,2025-07-18,Wroclaw,Oltaszyn,1.0,74.6,,,1.0,1957.0,5.41,92-834,5108,381047
143056,2025-09-12,Warszawa,Ursus,4.0,92.4,2.0,9.0,1.0,2010.0,4.02,22-880,8617,796220
321346,2025-04-02,Poznan,Wilda,1.0,66.7,0.0,11.0,1.0,1993.0,2.12,76-696,6684,445821
60918,2024-01-12,Krakow,Podgorze,3.0,82.9,13.0,10.0,1.0,2010.0,13.33,17-660,3764,312046
203485,2025-09-06,Krakow,Krowodrza,4.0,103.5,9.0,7.0,1.0,1980.0,8.85,67-142,5637,583401
29018,2025-01-06,Lodz,Retkinia,1.0,71.2,1.0,5.0,1.0,2012.0,1.44,16-521,6564,467335
148727,2025-07-19,Warszawa,Zoliborz,5.0,111.7,4.0,16.0,1.0,1976.0,6.0,67-560,8493,948648
142635,2024-09-21,Lodz,Srodmiescie,1.0,63.4,13.0,15.0,1.0,1985.0,0.7,94-526,8581,544034
313071,2024-09-27,Warszawa,Ursynow,5.0,88.0,6.0,8.0,1.0,,1.53,46-213,12592,1108095
780817,2025-04-17,Warszawa,Zoliborz,1.0,63.1,13.0,8.0,1.0,2012.0,,23-451,14465,912759
264398,2024-04-30,Warszawa,Ursus,2.0,66.4,8.0,16.0,0.0,2019.0,3.61,35-597,8549,567640
294312,2023-11-13,Warszawa,Mokotow,2.0,57.0,9.0,14.0,1.0,,7.12,25-177,8819,502694
129475,2024-05-11,Wroclaw,Stare Miasto,2.0,50.5,3.0,10.0,1.0,2005.0,2.67,89-179,9240,466636
198558,2025-07-15,Gdansk,Chelm,1.0,60.9,13.0,7.0,1.0,1959.0,1.21,16-207,8210,500016
513724,2024-03-04,Gdansk,Przymorze,5.0,81.7,2.0,12.0,1.0,2015.0,4.39,83-661,7371,602208
469777,2023-12-03,Warszawa,Bielany,5.0,124.1,10.0,15.0,0.0,2017.0,6.11,37-675,7255,900295
276512,2024-07-20,Lodz,Teofilow,3.0,106.2,,13.0,1.0,2013.0,4.53,74-375,4560,484221
390020,2024-11-09,Wroclaw,Stare Miasto,1.0,65.4,14.0,13.0,1.0,2021.0,8.91,93-677,6247,408548
549290,2024-11-12,Krakow,Nowa Huta,3.0,91.5,3.0,5.0,1.0,2017.0,10.98,29-480,3750,343095
754248,2025-07-20,Warszawa,Zoliborz,1.0,78.2,10.0,15.0,0.0,1963.0,13.54,59-307,4535,354637
205202,2025-06-07,Warszawa,Ursus,,50.1,8.0,11.0,1.0,1972.0,10.86,77-858,4470,223944
684346,2024-09-12,Wroclaw,Oporow,5.0,89.1,11.0,15.0,1.0,1971.0,2.94,35-439,6779,604004
305053,2024-04-02,Wroclaw,Srodmiescie,1.0,49.4,2.0,7.0,,1960.0,6.71,29-681,6698,330886
482522,2024-01-17,Warszawa,Bemowo,2.0,76.7,10.0,,1.0,2007.0,1.47,69-789,11874,910703
614348,2024-08-17,Wroclaw,Srodmiescie,4.0,113.8,5.0,17.0,1.0,1968.0,3.07,57-573,8455,962146
238421,2024-11-13,Poznan,Naramowice,5.0,54.7,6.0,,1.0,1989.0,4.32,80-802,6162,337067
652746,2025-04-13,Warszawa,Wola,5.0,81.3,2.0,11.0,1.0,1995.0,5.38,52-307,9190,747112
326099,2024-07-13,Krakow,Bronowice,4.0,76.8,,10.0,1.0,1982.0,1.65,31-826,9611,738117
396684,2025-05-10,Wroclaw,Psie Pole,4.0,100.6,7.0,4.0,0.0,1967.0,1.18,97-475,6739,677980
235785,2024-01-07,Wroclaw,Oltaszyn,4.0,72.3,14.0,6.0,0.0,,1.91,41-688,6621,478669
170089,2024-07-19,Poznan,Wilda,1.0,31.2,15.0,6.0,1.0,1958.0,1.75,18-296,8106,252920
726304,2025-06-06,Warszawa,Bemowo,,66.3,4.0,16.0,1.0,1958.0,7.12,28-683,6568,435463
239905,2024-05-02,Krakow,Bronowice,1.0,42.9,4.0,17.0,1.0,1999.0,15.8,52-472,3500,150150
226593,2023-11-04,Warszawa,Ursus,1.0,76.3,1.0,4.0,0.0,1995.0,17.67,86-935,3500,267050
23866,2024-01-16,Lodz,Widzew,5.0,100.8,15.0,9.0,1.0,1985.0,3.14,29-324,4860,489871
599122,2025-06-17,Warszawa,Ursynow,4.0,62.3,15.0,17.0,1.0,2011.0,1.48,63-267,12833,799500
175530,2024-08-24,Wroclaw,Oporow,5.0,75.1,3.0,5.0,1.0,2021.0,9.76,58-761,4859,364933
519944,2025-01-12,Krakow,Zwierzyniec,2.0,70.5,0.0,13.0,1.0,1995.0,4.77,24-798,7645,538940
710059,2024-01-17,Warszawa,Mokotow,5.0,128.6,,12.0,1.0,1984.0,0.76,55-907,13240,1702720
106619,2024-05-29,Wroclaw,Oporow,4.0,87.6,2.0,11.0,1.0,2014.0,8.46,55-320,4615,404289
798503,2023-11-04,Gdansk,Zaspa,4.0,58.8,,7.0,1.0,1981.0,2.81,64-220,7861,462252
324498,2025-02-10,Warszawa,Ursus,2.0,83.1,14.0,7.0,1.0,1962.0,9.46,91-148,5402,448910
651541,2024-03-09,Gdansk,Oliwa,3.0,74.5,6.0,5.0,1.0,1962.0,6.49,42-131,6765,503969
616104,2025-08-22,Warszawa,Bielany,1.0,65.2,5.0,14.0,1.0,1980.0,3.73,61-186,9482,618198
531351,2024-05-02,Wroclaw,Psie Pole,4.0,71.8,9.0,9.0,1.0,1955.0,22.3,79-106,3500,251300
349653,2025-06-26,Poznan,Naramowice,5.0,127.8,9.0,13.0,1.0,1998.0,10.95,76-894,3579,457375
495176,2023-12-20,Wroclaw,Biskupin,3.0,89.4,,10.0,1.0,,1.98,13-448,8204,733451
719754,2025-09-04,Gdansk,Oliwa,4.0,129.3,3.0,9.0,1.0,2023.0,11.26,58-707,3779,488681
78006,2024-06-07,Warszawa,Zoliborz,1.0,59.2,10.0,16.0,0.0,,8.47,93-367,5858,346791
706398,2024-07-30,Warszawa,Wola,2.0,76.5,11.0,10.0,1.0,,4.85,73-125,9977,763265
408450,2025-04-18,Poznan,Winogrady,3.0,74.3,2.0,6.0,1.0,1993.0,6.0,44-198,4522,335995
498080,2023-11-25,Warszawa,Bemowo,4.0,119.0,9.0,11.0,,,5.9,54-670,7815,929994
740825,2024-01-22,Gdansk,Srodmiescie,5.0,100.8,5.0,13.0,1.0,1961.0,6.61,15-676,6309,635927
179076,2025-06-14,Krakow,Czyzyny,2.0,77.0,4.0,17.0,1.0,,3.17,14-551,8349,642881
